alarm_num,alarm_name,level,enabled,duration,actions,notes
131,Module over-temperature,1,1,0,,
132,Pack terminal under-voltage,1,1,0,,
133,Pack terminal over-voltage,1,1,0,,
134,Fast charge over-current,1,1,0,,
135,Pole over-temperature,1,1,0,,
136,"Feed over-current""",1,1,0,,
137,Discharge over-current,1,1,0,,
138,Isolation low,1,1,0,,
139,LOW SOC,1,1,0,,
140,HIGH SOC,1,1,0,,
141,Cell over-voltage,1,1,0,,
142,Cell under-voltage,1,1,0,,
143,Cell voltage-difference high,1,1,0,,
144,Charge over-temperature,1,1,0,,
145,Charge under-temperature,1,1,0,,
146,Discharge over-temperature,1,1,0,,
147,Discharge under-temperature,1,1,0,,
148,Cell temperature-difference high,1,1,0,,
149,SOC DIFFERENCE HIGH,1,1,0,,
150,Temperature rise fast,1,1,0,,
151,Module over-voltage,1,1,0,,
152,Module under-voltage,1,1,0,,
153,BMM external device fault (DI inspect),1,1,0,,
154,Balance board fault,1,1,0,,
